Name,Season,Team,Team Wins,Team Win Percentage,Position,MIN,PTS,FG_PCT,FG3_PCT,FT_PCT,REB,AST,STL,BLK,TOV,PER,OFFRTG,DEFRTG,NETRTG,AST_PCT,AST_TO_TO,AST_RATIO,TO_RATIO,EFG,TS,USG_RATE,WIN_SHARE,Team_Valuation,Team_Home_Attendance_Percentage,Salary(millions),PTS_WON,MAX,PTS_WON2
LeBron James,2015,CLE,53,0.646,SF,36.1,25.3,0.488,0.354,0.71,6,7.4,1.6,0.7,3.9,26.01,113.1,102.2,11,36.6,1.88,22.4,11.9,53.5,57.7,31.6,10.4,1100,100,22.9,552,1300,0.424
Russell Westbrook,2015,OKC,45,0.548,,34.4,28.1,0.426,0.299,0.835,7.3,8.6,2.1,0.2,4.4,29.12,110.5,105.6,4.9,43,1.96,21.9,11.2,45.5,53.6,36.6,10.6,950,100,16.7,352,1300,0.27
Anthony Davis,2015,NOP,45,0.548,,36.1,24.4,0.535,0.083,0.805,10.2,2.2,1.5,2.9,1.4,30.89,109.6,103.3,6.3,10.9,1.57,9.1,7.2,53.6,59.1,27.1,14,750,97,7,203,1300,0.156
Chris Paul,2015,LAC,56,0.682,,34.8,19.1,0.485,0.398,0.9,4.6,10.2,1.9,0.2,2.3,26.04,116.2,103.4,12.8,44.1,4.41,35.8,8.1,54.5,59.6,23.1,16.1,2000,100.6,21.4,124,1300,0.095
LaMarcus Aldridge,2015,POR,51,0.621,,35.4,23.4,0.466,0.352,0.845,10.2,1.7,0.7,1,1.7,22.85,109.7,103,6.7,8.9,1.02,6.8,14,47.9,52.8,29.7,8.6,975,94,19.6,6,1300,0.004
Marc Gasol,2015,MEM,55,0.67,,33.2,17.4,0.494,0.176,0.795,7.8,3.8,0.9,1.6,2.2,21.73,106.1,102,4.2,19.3,1.74,17.6,10.1,49.6,55.8,24.4,10.2,780,95.6,19.6,3,1300,0.002
Blake Griffin,2015,LAC,56,0.682,,35.2,21.9,0.502,0.4,0.728,7.6,5.3,0.9,0.5,2.3,22.86,116.7,104.1,12.6,24.6,2.33,19.3,8.3,50.6,55.1,27.7,9,2000,100.6,18.9,3,1300,0.002
Tim Duncan,2015,SAS,55,0.67,,28.9,13.9,0.512,0.286,0.74,9.1,3,0.8,2,1.7,22.69,106.2,99.3,6.9,16.6,1.76,17.4,9.9,51.3,56,21.9,9.6,1200,100.1,5.2,1,1300,0
Kawhi Leonard,2015,SAS,55,0.67,,31.8,16.5,0.479,0.349,0.802,7.2,2.5,2.3,0.8,1.5,22.09,109,97.6,11.4,12.4,1.66,13.5,8.1,52,56.7,22.6,8.6,1200,100.1,16.4,1,1300,0
Klay Thompson,2015,GSW,67,0.817,,31.9,21.7,0.463,0.439,0.879,3.2,2.9,1.1,0.8,1.9,20.86,113.8,98.4,15.3,13.7,1.49,12.5,8.4,55.5,59.1,27.1,8.8,1900,100,15.5,1,1300,0
