PTS_WON,Team Win Percentage,MIN,PTS,FG_PCT,FG3_PCT,FT_PCT,REB,AST,STL,BLK,TOV,PER,OFFRTG,DEFRTG,NETRTG,AST_PCT,AST_TO_TO,AST_RATIO,TO_RATIO,EFG,TS,USG_RATE,WIN_SHARE
609,0.609,39.5,30.1,0.476,0.365,0.9,7.6,2.8,1.4,1,3.3,26.23,108.7,102.5,6.3,13,0.85,9.1,10.7,51.4,60.7,31,16.1
599,0.695,38.8,27,0.456,0.329,0.811,5.4,5,1.5,0.3,3.2,21.95,109.6,101.3,8.3,23,1.57,15.2,9.7,48.8,54.5,31.8,9.4
478,0.719,34.7,18.3,0.612,0,0.592,13.2,1.8,0.9,2.8,3.3,24.07,112,100.2,11.8,8.7,0.53,8.9,16.9,61.2,63,24,13.2
119,0.573,36.3,26.6,0.476,0.3,0.761,4.8,6.5,1.8,1.1,3.3,28.1,109.9,103.5,6.4,33.4,1.99,19.5,9.8,50,56.2,33.6,13
65,0.646,38.2,28.2,0.458,0.316,0.83,6.6,3.2,1.3,0.4,3,22.29,111.4,105.6,5.8,15.9,1.06,10.1,9.5,47.8,54.8,32.6,7.9
55,0.67,37.5,25,0.481,0.421,0.915,7.7,2.7,0.9,1,1.8,23.01,108.2,102.7,5.5,12.8,1.46,10.3,7.1,49.8,57.8,28.2,12.3
49,0.658,32.8,16.5,0.507,0.426,0.938,3.3,11,0.5,0.1,3.6,21.67,115.8,109.1,6.7,48.3,3.02,39.6,13.1,57,61.5,22.2,9.9
7,0.646,36.9,18.7,0.469,0.371,0.801,4,10.5,1.3,0.2,3.3,20.62,112.3,103.9,8.4,42.9,3.17,34.9,11,51.5,57.4,23.7,10.3
5,0.658,34.6,23.1,0.557,0.167,0.771,8.9,1,0.6,1,2.6,22.69,114.5,108.5,6.1,4.7,0.38,4.5,11.6,55.7,61.5,26.9,10.7
3,0.609,28.7,16.5,0.441,0.377,0.87,3.8,4.9,1.4,0.3,2.1,22.54,110,101.7,8.4,27.3,2.4,23.6,9.8,51.4,58.4,24.5,9.7
1,0.646,34.1,19.5,0.418,0.386,0.91,3.1,5.6,1.1,0.1,2.4,20.25,111.2,106.5,4.6,27,2.31,23.1,10.1,49.9,60.1,23.8,9.5
1,0.487,36.1,24,0.518,0.364,0.797,10.8,2.4,0.6,1,2.4,25.11,110.3,110.1,0.2,11.6,0.98,9.5,9.6,52.2,59.2,28.3,9.6
1,0.536,38.6,20.6,0.423,0.328,0.779,5,3.7,1.6,0.5,3.2,15.69,105.2,102.8,2.4,17,1.16,13.9,12,46.9,51.8,27,5
1,0.646,38,21.3,0.458,0.369,0.818,4.6,4.9,1.1,0.1,1.9,19.33,112.3,106.3,6,21.6,2.54,18.4,7.2,50.5,53.8,26.3,8.4
