s/o to she loves Kevin Durant and she is good friend and good follower so y'all follow her now !!,0.85,0.6000000000000001
"LeBron did Kevin durant got his own movie coming out, kobe or lebron ain't did that yet",0.6,1.0
ugh i gottah do it later im finna go to thee movies,0.0,0.0
Rappin never been part of the plan gettin brix 35 kevin durant ! - montanaaaa,0.0,0.0
Here is your #NBA2K13 cover! Tell us what your thoughts are on this year's cover! http://t.co/zPOdrLXW (Please !) http:/ ...,0.0,0.0
"Kevin durant got his own movie coming out, kobe or lebron ain't did that yet",0.6,1.0
"You know, Kevin Durant was scoreing camp and he didn't get it, so it happens to the best of them.",1.0,0.3
"Yeah I Saw That Hot Garbage lol And So Does Kevin Durant, Kobe, and Stevie Johnson Smh",0.525,0.775
"To this day, Kevin Durant practices like he's still trying to make the team. He's an All-Star &amp; 3-time scoring champ! ...",0.0,0.0
#BeefsBetterThanDrakeAndChrisBrowns Kevin Durant vs ProActive,0.0,0.0
Here is your #NBA2K13 cover! Tell us what your thoughts are on this year's cover! http://t.co/zPOdrLXW (Please !) http:/ ...,0.0,0.0
ugh i gottah do it later im finna go to thee movies,0.0,0.0
#BeefsBetterThanDrakeAndChrisBrowns Kevin Durant vs A Brush,0.0,0.0
 @cabby_everclear #BeefsBetterThanDrakeAndChrisBrowns Kevin Durant vs a brush ,0.0,0.0
#BeefsBetterThanDrakeAndChrisBrowns Kevin Durant vs a brush,0.0,0.0
Watchin kevin durant,0.0,0.0
http://t.co/1flQ3uRD Check it out my mom met Kevin Durant!!!,0.0,0.0
#BeefsBetterThanDrakeAndChrisBrowns Me vs Kevin durant (  _ `) ...what?,0.0,0.0
Kevin Durant is my role model foreal. On and off the court lol,0.8,0.7
#Perry Jones on joining the #Thunder: The hardest part is playing to the level of intensity that Kevin #Durant and Rus ...,0.0,0.0
Kevin Durant is my role model foreal. On and off the court lol,0.8,0.7
"""@ScrewYouDyer: but yet he still has a movie ... i didnt tweet ""kevin durant has a movie thats better than lebron's""""truu.",0.5,0.5
#BeefsBetterThanDrakeAndChrisBrowns Kevin Durant vs his hair brush,0.0,0.0
Gettin it for Kobe bryant sellin it for Kevin durant,0.0,0.0
"Rookie year Kevin Durant, throwback Jim Brown and Sean Taylor    http://t.co/ldGXcsZV",0.0,0.0
when did Kevin Durant become an actor?? lmao I'm goin to see his movie tho,0.6,1.0
"The NBA 2k13 cover tho. &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt; Blake Griffin, Kevin Durant, &amp; Derrick Rose.",0.6,0.95
#BeefsBetterThanDrakeandChrisBrown Meek mill vs. Kevin durant. (he burnt his jersey),0.0,0.0
"but yet he still has a movie ... i didnt tweet ""kevin durant has a movie thats better than lebron's""",0.5,0.5
"lml Right , But Your Crush (Kevin Durant) Had A Breakdown After Your Fav #TeamHeats Beat Them At The Finals Ain't That Some",0.2857142857142857,0.5357142857142857
"Favorite rappers in order: 2 Chainz, Meek Mill, Big Sean, Wale, All of Black Hippie, Tuss The Savage, A$AP Rocky, Kevin Durant. Lol",0.2833333333333333,0.5583333333333333
#BeefsBetterThanDrakeAndChrisBrowns Kevin Durant vs the bench press,0.0,0.0
Kevin Durant 35 Give this page some support! DeRozan is a beast!... http://t.co/2Vp2drNZ,0.0,0.0
I favorited a video http://t.co/zcuxLstu Kevin Durant on Jimmy Kimmel Live PA 1,0.13636363636363635,0.5
I liked a video http://t.co/zcuxLstu Kevin Durant on Jimmy Kimmel Live PA 1,0.36818181818181817,0.65
"""@J_Hay_ Serena Williams is Kevin Durant""",0.0,0.0
Serena Williams looks like the female version of Kevin Durant.,0.0,0.16666666666666666
Kevin Durant is in a movie.,0.0,0.0
My mom think she ill cause she met Kevin Durant.,-0.5,1.0
Kevin Durant got some long ass arm... nigga can prolly stand straight up &amp; clip his toe nails.,0.07500000000000001,0.4
Here is your #NBA2K13 cover! Tell us what your thoughts are on this year's cover! http://t.co/zPOdrLXW (Please !) http:/ ...,0.0,0.0
Awwww Kevin Durant has a movie coming out kinda like a human version of space jam thou lmao,0.3666666666666667,0.6666666666666666
"LeBron James, Kevin Durant and the non-call http://t.co/Qlb9KFhC #kingjames",0.0,0.0
Wow They Call Me Kevin Durant At The Court....!!,0.15625,1.0
#Perry Jones on joining the #Thunder: The hardest part is playing to the level of intensity that Kevin #Durant and Rus ...,0.0,0.0
#Perry Jones on joining the #Thunder: The hardest part is playing to the level of intensity that Kevin #Durant and Rus ...,0.0,0.0
#Perry Jones on joining the #Thunder: The hardest part is playing to the level of intensity that Kevin #Durant and Russell #Westbrook set.,0.0,0.0
Lmao stop it #BeefsBetterThanDrakeAndChrisBrown Kevin Durant Vs the Weight room,0.6,1.0
Kevin Durant Tweets That He Can't Believe He has So Many Haters In His Hometown DC (see) http://t.co/0a0MbvcB,0.5,0.5
At this point Kevin Durant will retire before Roy jones #boxing,0.0,0.0
Tullll Skillwise Regina is like lebron james.. While sean is like kevin durant :) #indonesianidol,0.5,1.0
Kevin Durant... Glock sound like thunder,0.4,0.4
Wowsers. This looks like its going to be terrible. http://t.co/hct0ba,-1.0,1.0
#BeefsBetterThanDrakeAndChrisBrown Kevin Durant Vs the Weight room,0.0,0.0
#BeefsBetterThanDrakeAndChrisBrown Kevin Durant Vs the Weight room,0.0,0.0
West: PG: Chris Paul or Deron Williams SG: Kobe Bryant SF: Carmelo Anthony or Kevin Durant PF: Tim Duncan C: Al... http://t.co/V93HyJny,0.0,0.0
#BeefsBetterThanDrakeAndChrisBrown Kevin Durant Vs the Weight room,0.0,0.0
"kevin durant, glock sound like thunda! http://t.co/umoHlD3x",0.5,0.4
Kevin Durant Tweets That He Can't Believe He has So Many Haters In His Hometown DC (see) http://t.co/0a0MbvcB,0.5,0.5
Yea..I am always watching videos of Cam Newton &amp; Kevin Durant but...It's not an obsession..lol..I just admire them..a lot..,0.0,0.0
"'NBA 2K13' cover features Blake Griffin, Kevin Durant, Derrick Rose - http://t.co/AlFneGZ1",0.6,0.95
Lmaooooooo #BeefsBetterThanDrakeAndChrisBrowns Kevin Durant vs Wave Grease,0.0,0.0
Kevin Durant Tweets That He Can't Believe He has So Many Haters In His Hometown DC (see) http://t.co/0a0MbvcB,0.5,0.5
Kevin Durant - Unlimited Potential http://t.co/oFJm9quL from http://t.co/ArqyiUfa,0.0,1.0
Kevin Durant - Unlimited Potential http://t.co/WjXuOdtG from http://t.co/ArqyiUfa,0.0,1.0
#BeefsBetterThanDrakeAndChrisBrowns Kevin Durant and Kevin Garnett.,0.0,0.0
Here is your #NBA2K13 cover! Tell us what your thoughts are on this year's cover! http://t.co/zPOdrLXW (Please !) http:/ ...,0.0,0.0
"I'd your talking about Kevin Durant, yes.",0.0,0.0
I'm in love with Kevin Durant world!!!!!!!!!,1.0,0.6
"NBA 2k13 cover features Blake Griffin, Kevin Durant &amp; Derrick Rose #Clippers #Thunder #Bulls http://t.co/CP9I4l5A",0.6,0.95
hilarity...the kevin durant interrogation was funny too...when you making a video for too hot for the sno man?,0.25,0.925
You know you suck when you only scoring 14 pts with Kevin Durant on 2k,0.0,1.0
"Hard Work Beats Talent , when Talent doesn't Work Hard - Kevin Durant",-0.2916666666666667,0.5416666666666666
Kevin Durant should work out with Hakeem The Dream to develop a expanded post game. That would be serious for the NBA.,-0.3666666666666667,0.5333333333333333
"Hard Work Beats Talent , when Talent doesn't Work Hard - Kevin Durant",-0.2916666666666667,0.5416666666666666
Kevin Durant got his own version of Like Mike called Thunder Struck!!,0.9375,1.0
"To this day, Kevin Durant practices like he's still trying to make the team. He's an All-Star &amp; 3-time scoring champ! ...",0.0,0.0
Kevin Durant is a G.,0.0,0.0
dude in the finish line look like kevin durant...,0.0,0.0
"To this day, Kevin Durant practices like he's still trying to make the team. He's an All-Star &amp; 3-time scoring champ! ...",0.0,0.0
Bigger one the ones kevin durant be wearing..,0.0,0.5
"I got that Kevin Durant hair, which means I got no choice but to keep a low cut",0.0,0.3
so DC aint got love for Kevin Durant?,0.5,0.6
"KD looks like he's still pissed... OMG ! My brother met Kevin Durant in GeorgeTown , DC http://t.co/060bxtRC",0.0,0.0
5. Kevin Love 4. Dwight Howard 3. Kobe Bryant 2. Kevin Durant 1. LeBron James #StatsTop50,0.5,0.6
5. Kevin Love 4. Dwight Howard 3. Kobe Bryant 2. Kevin Durant 1. LeBron James #StatsTop50,0.5,0.6
"OMG ! My brother met Kevin Durant in GeorgeTown , DC http://t.co/Udk8Qetw",0.0,0.0
Kevin Durant is a G.,0.0,0.0
After Kobe Bryant and the lebron james game 6 face there is no other face as intense as the Kevin Durant face,-0.04583333333333334,0.5916666666666667
Kevin Durant,_____________,_______________
KRISTEN AND CHRIS' INTERVIEW WITH PAUL ON 9.29 http://t.co/ytVjKnkT,0.0,0.0
"With , Paul, Chris , and carter         ",0.0,0.0
Chris Paul,0.0,0.0
"OMG Odom in LA but on the Clippers. 1st Chris Paul now this, oy! http://t.co/rcFB2kqB",0.0,0.0
"You do understand that this is all a gimmick for some sucky album Chris Brown is about to come out with, right?",0.2857142857142857,0.5357142857142857
"the original lakers/chris paul deal still worries me, but based on everything else, dell demps is a fringe top-5 GM to ...",0.375,0.75
"the original lakers/chris paul deal still worries me, but based on everything else, dell demps is a fringe top-5 GM to me right now.",0.33035714285714285,0.6428571428571428
"ESS H2 LU: Matt Tanner, Joe Trenca, Paul Habeck, Mikey Kruchka, Chris Durand, Lance Yonge, Conor Mahoney, Paul Pekkonen, To ...",0.0,0.0
"did you just compare Melo, chris paul, and Howard to Gasol and bynum? Smh, Gasol n bynum is not on dey level,n I'm a lakeFan",0.0,0.0
"ESS H2 LU: Matt Tanner, Joe Trenca, Paul Habeck, Mikey Kruchka, Chris Durand, Lance Yonge, Conor Mahoney, Paul Pekkonen, Todd Hoddick",0.0,0.0
"Hi, Chris Paul",0.0,0.0
"Love me some Perry Jones, but c'mon.. This whole ""PJ3"" thing is too much like Chris Paul's ""CP3"" thing",0.3,0.39999999999999997
Chris Paul need one.   -- it don't look like that though lol,0.8,0.7
"Corey Barry wins SK Light 25 Larry Goss, Paul French, Chris Ignazio, Cam McDermott Top 5",0.3,0.35
"s/o to chris paul, mann tht nigga nice.!",0.75,1.0
Chris Paul has some pretty ass eyes &gt;&gt;&gt;&gt;&gt;&gt;,0.25,1.0
West: PG: Chris Paul or Deron Williams SG: Kobe Bryant SF: Carmelo Anthony or Kevin Durant PF: Tim Duncan C: Al... http://t.co/V93HyJny,0.0,0.0
After Chris Harris' latest nightmare what now for GB participation in the 2013 GPs?,0.5,0.9
"John Roberts: ""And because of this, we've decided to reverse David Stern's decision, and make Chris Paul a Laker."" ...",0.0,0.0
"2017 NBA FINALS - kyrie/waiters/LEBRON/tristan/zeller vs. CHRIS PAUL/gordon/um, aminu/davis/javale m ...",0.0,0.0
"2017 NBA FINALS - kyrie/waiters/LEBRON/tristan/zeller vs. CHRIS PAUL/gordon/um, aminu/davis/javale mcgee. done.",0.0,0.0
#BeefsBetterThanDrakeAndChrisBrowns Laker Fans vs David Stern after he vetoed the Chris Paul trade,0.0,0.0
LAClippers/NBA: Clippers tem interesse em renovar com Blake Griffin e Chris Paul http://t.co/ZkTbKOcY,0.0,0.0
"When Tim Duncan leaves the NBA, Chris Paul will probably be my favorite player #standupguy",0.5,1.0
chris paul?,0.0,0.0
"Chris Rock telling good jokes: Good Jokes Chris Rock Roasts Oprah, Obama &amp; Paul M... http://t.co/Mi3g2WzJ",0.7,0.6000000000000001
19. Steve Nash 18. Andrew Bynum 17. Paul Pierce 16. Tony Parker 15. Chris Bosh #StatsTop50,0.0,0.0
4 Jacob Dalton 358.350 4 Chris Brooks 358.350 6 Paul Ruggeri 352.800,0.0,0.0
"If David Stern lets Ray Allen go to the Heat after not letting Chris Paul go to the Lakers, it's safe to say the NBA is ...",0.5,0.5
Deron Williams &gt; Chris Paul.,0.0,0.0
Chris Bosh Ru Paul  @DonteRedd: Lil Zane I'm running shit. Name a nigga harder than me! ,-0.1625,0.4
